Super_scaffold_1:2445282-2454615	M
Super_scaffold_1:2485329-2489472	P
Super_scaffold_1:3055038-3062124	P
Super_scaffold_1:5435490-5435786	M
Super_scaffold_3:41345022-41346174	M
Super_scaffold_344:318431-320235	M
Super_scaffold_344:16660336-16662403	M
Super_scaffold_345:2801527-2821463	P
Super_scaffold_345:2932015-2932418	M
Super_scaffold_345:7728833-7729983	P
Super_scaffold_345:15406633-15409684	M
Super_scaffold_345:37621793-37622334	M
Super_scaffold_345:68692642-68696030	M
Super_scaffold_345:87279739-87283528	M
Super_scaffold_345:89725168-89725926	M
Super_scaffold_345:92025747-92037441	M
Super_scaffold_345:96061182-96062617	P
Super_scaffold_345:100821012-100826440	P
Super_scaffold_347:12184852-12192703	M
Super_scaffold_348:3577693-3582809	P
Super_scaffold_349:4668627-4668953	M
Super_scaffold_349:11275671-11278570	P
Super_scaffold_349:62864709-62874735	M
Super_scaffold_349:81739000-81742627	M
Super_scaffold_349:82554434-82558234	P
Super_scaffold_350:23140168-23141294	M
Super_scaffold_350:92984967-92996917	M
Super_scaffold_350:96277711-96278701	P
Super_scaffold_350:104938533-104940214	M
Super_scaffold_352:1503749-1506845	M
Super_scaffold_352:50453792-50456117	M
Super_scaffold_352:58310758-58311277	M
Super_scaffold_353:4893851-4893930	P
Super_scaffold_354:17401798-17403515	M
Super_scaffold_354:32345464-32346727	M
Super_scaffold_354:60351951-60352896	M
Super_scaffold_355:39247534-39252567	M
Super_scaffold_355:54691383-54693225	M
Super_scaffold_355:81885379-81887873	M
Super_scaffold_355:83673828-83675066	M
Super_scaffold_355:88894301-88899424	M
Super_scaffold_355:98004187-98005883	P
Super_scaffold_355:99496445-99499909	M
Super_scaffold_355:100056941-100062637	M
Super_scaffold_356:1958938-1960662	M
Super_scaffold_360:16395058-16397013	P
Super_scaffold_364:40468689-40478187	M
Super_scaffold_364:60280546-60285418	M
Super_scaffold_365:2861730-2864752	M
Super_scaffold_368:847259-853624	P
Super_scaffold_368:4214791-4214894	M
Super_scaffold_368:5028738-5046945	M
Super_scaffold_369:15688145-15689707	M
Super_scaffold_369:15825578-15830521	M
Super_scaffold_369:20804666-20809238	M
Super_scaffold_370:474996-475396	M
Super_scaffold_371:1882431-1887971	P
Super_scaffold_373:1260378-1262731	M
Super_scaffold_373:16376939-16381377	P
Super_scaffold_374:818632-822509	M
Super_scaffold_378:2899193-2902636	P
Super_scaffold_378:6328699-6329740	P
Super_scaffold_378:6905285-6906066	P
Super_scaffold_378:7144012-7148392	M
Super_scaffold_378:10914367-10916785	M
Super_scaffold_380:233437-242422	M
Super_scaffold_380:1433501-1446437	P
Super_scaffold_381:920588-921314	M
Super_scaffold_384:777498-780775	M
Super_scaffold_388:14078805-14088813	M
Super_scaffold_388:15670662-15671709	P
Super_scaffold_388:24397025-24402929	M
Super_scaffold_388:47710634-47712217	M
Super_scaffold_389:1679762-1683122	P
Super_scaffold_389:1729817-1729974	M
Super_scaffold_391:1066259-1082439	M
Super_scaffold_391:1123287-1131284	P
Super_scaffold_391:1865570-1881579	P
Super_scaffold_391:2808804-2814378	P
Super_scaffold_391:3316597-3320525	P
Super_scaffold_392:1853549-1854183	P
Super_scaffold_393:1866227-1867276	M
Super_scaffold_395:2406308-2407168	M
Super_scaffold_4:4903100-4918657	M
Super_scaffold_4:5784204-5786661	M
Super_scaffold_4:14551467-14553153	P
Super_scaffold_4:29362969-29365178	P
Super_scaffold_4:36526311-36528514	M
Super_scaffold_4:37739413-37752314	M
Super_scaffold_4:65384408-65386829	P
Super_scaffold_404:763962-773981	P
Super_scaffold_405:2137679-2138246	P
Super_scaffold_405:4281216-4286162	P
Super_scaffold_405:5581025-5582519	M
Super_scaffold_405:5637180-5638348	M
Super_scaffold_409:1098035-1103011	P
Super_scaffold_412:42681537-42684333	P
Super_scaffold_412:49287143-49293308	M
Super_scaffold_412:52827535-52841737	M
Super_scaffold_412:60450185-60453022	P
Super_scaffold_412:62200436-62207348	M
Super_scaffold_413:129198-132664	P
Super_scaffold_419:19373765-19375490	P
Super_scaffold_420:5847295-5851395	P
Super_scaffold_421:3376707-3382279	P
Super_scaffold_421:4662621-4668459	M
Super_scaffold_421:5080159-5085592	P
Super_scaffold_421:5141028-5143920	M
Super_scaffold_422:125906-127566	P
Super_scaffold_422:1487502-1494693	P
Super_scaffold_423:569416-571681	M
Super_scaffold_424:5826204-5827037	M
Super_scaffold_425:11394347-11395038	M
Super_scaffold_425:11939724-11939856	M
Super_scaffold_426:3124372-3125707	M
Super_scaffold_428:911194-913559	P
Super_scaffold_428:3227624-3235393	P
Super_scaffold_434:410703-412863	P
Super_scaffold_434:912535-916909	M
Super_scaffold_451:1200707-1207650	P
Super_scaffold_456:607427-614955	M
Super_scaffold_456:1228900-1231132	M
Super_scaffold_459:619547-622951	M
Super_scaffold_1:4441184-4442275	P
Super_scaffold_1:6191314-6191672	M
Super_scaffold_252:3217711-3221550	P
Super_scaffold_3:32472595-32474899	M
Super_scaffold_344:5871484-5872032	M
Super_scaffold_344:7032985-7033125	M
Super_scaffold_344:32730889-32736038	M
Super_scaffold_344:39429579-39442971	M
Super_scaffold_345:7927226-7927464	P
Super_scaffold_345:11590924-11591784	M
Super_scaffold_345:13081806-13083260	M
Super_scaffold_345:13860764-13866689	M
Super_scaffold_345:39897443-39900474	M
Super_scaffold_345:99492182-99495962	M
Super_scaffold_349:36755884-36757118	M
Super_scaffold_349:59428452-59428472	M
Super_scaffold_349:79595440-79598327	P
Super_scaffold_349:80699606-80701105	P
Super_scaffold_349:112745179-112747128	M
Super_scaffold_350:20139814-20140242	M
Super_scaffold_350:24749910-24751118	M
Super_scaffold_350:38884568-38885467	P
Super_scaffold_350:74918398-74921568	P
Super_scaffold_350:94180760-94180990	P
Super_scaffold_350:101113847-101114000	M
Super_scaffold_350:102795366-102797292	P
Super_scaffold_350:104591734-104593574	M
Super_scaffold_350:105355439-105363723	P
Super_scaffold_352:18453774-18468711	M
Super_scaffold_352:34692456-34696940	P
Super_scaffold_352:37610646-37612975	M
Super_scaffold_353:771919-774050	M
Super_scaffold_353:2096824-2098360	P
Super_scaffold_353:3708325-3723350	P
Super_scaffold_354:12347283-12348548	M
Super_scaffold_354:12804847-12806514	M
Super_scaffold_354:71599804-71600979	P
Super_scaffold_355:44050733-44054253	M
Super_scaffold_355:61335659-61338609	P
Super_scaffold_355:69126697-69138348	M
Super_scaffold_356:1057527-1057611	P
Super_scaffold_356:7987170-7991892	M
Super_scaffold_363:17027616-17032574	M
Super_scaffold_364:38307868-38310634	M
Super_scaffold_365:798281-799311	M
Super_scaffold_365:2453399-2455924	P
Super_scaffold_366:1071960-1072482	P
Super_scaffold_368:674992-678769	P
Super_scaffold_368:2882658-2885908	M
Super_scaffold_368:6222432-6226033	P
Super_scaffold_369:18712121-18717111	M
Super_scaffold_369:25095232-25102831	P
Super_scaffold_373:1168974-1171609	P
Super_scaffold_374:25500-33111	M
Super_scaffold_374:1974551-1979721	M
Super_scaffold_374:2286616-2288566	M
Super_scaffold_378:3058991-3059001	M
Super_scaffold_378:6188518-6188850	M
Super_scaffold_378:6615174-6617438	M
Super_scaffold_380:3940811-3945524	P
Super_scaffold_381:3448655-3454818	M
Super_scaffold_383:717871-720413	P
Super_scaffold_383:810994-812425	P
Super_scaffold_388:6975039-6982319	M
Super_scaffold_388:21485112-21488673	M
Super_scaffold_390:862878-863009	M
Super_scaffold_393:2165748-2165903	M
Super_scaffold_397:98472-111132	M
Super_scaffold_397:1362218-1362961	P
Super_scaffold_397:1862011-1862182	M
Super_scaffold_4:3134418-3135495	P
Super_scaffold_4:13775330-13779689	M
Super_scaffold_4:14816463-14819199	M
Super_scaffold_4:20866987-20869798	P
Super_scaffold_4:21696249-21697210	M
Super_scaffold_4:23791460-23800125	P
Super_scaffold_404:623741-625843	M
Super_scaffold_406:337323-340655	P
Super_scaffold_409:1342602-1353281	M
Super_scaffold_409:2227745-2227987	P
Super_scaffold_412:4899682-4901606	P
Super_scaffold_412:13367614-13374529	M
Super_scaffold_412:21586162-21588014	M
Super_scaffold_412:39973302-39976769	P
Super_scaffold_412:61505813-61507835	M
Super_scaffold_413:2232289-2236207	P
Super_scaffold_420:3391436-3396123	M
Super_scaffold_421:5200820-5201167	P
Super_scaffold_421:5446900-5447093	P
Super_scaffold_422:799193-802850	M
Super_scaffold_423:467688-467718	M
Super_scaffold_424:7092472-7099523	P
Super_scaffold_426:873836-875129	P
Super_scaffold_426:3248468-3250756	P
Super_scaffold_433:104783-107326	P
Super_scaffold_456:371027-371410	M
